,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse,newConstructionType,unit,listingSubType.is_newHome,listingSubType.is_FSBO,listingSubType.is_accepting_backup_offers
17,1970-01-01,SINGLE_FAMILY,2509.0,"903 Walnut St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24074935913086,-77.93830871582031&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=7KXxNfOEle8b4-KAygvK6akUYCA=",10000,2.0,-77.93831,34.24075,RECENTLY_SOLD,54300560,,-1,1.0,1015.0,USA,USD,sqft,,,,,,,,
20,1970-01-01,SINGLE_FAMILY,5702.0,"317 S 16th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23210906982422,-77.92799377441406&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=lZ7C5amdTuw6IdASOFKOmWoE2Hg=",36500,2.0,-77.92799,34.23211,RECENTLY_SOLD,54309648,,-1,1.0,1114.0,USA,USD,sqft,,,,,,,,
31,1970-01-01,SINGLE_FAMILY,0.05,"606 S 7th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/044e70ea1cde10293be2bb9e5eecd26a-p_e.jpg,25000,4.0,-77.93993,34.228138,RECENTLY_SOLD,54310649,,-1,3.0,2220.0,USA,USD,sqft,True,,,,,,,
32,1970-01-01,SINGLE_FAMILY,4800.0,"1904 Church St, Wilmington, NC 28403","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23072814941406,-77.9242172241211&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=CZngJX4ZwSgk0FoLMv0cvtSlqEE=",500,3.0,-77.92422,34.23073,RECENTLY_SOLD,54310182,,-1,1.0,1144.0,USA,USD,sqft,,,,,,,,
36,1970-01-01,SINGLE_FAMILY,0.33769513314968,"212 Brookwood Ave, Wilmington, NC 28403","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23490524291992,-77.91765594482422&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=jGL5C-woNLmPHYCdn-dHgK7Bj0Y=",500,2.0,-77.917656,34.234905,RECENTLY_SOLD,54302837,,-1,1.5,1160.0,USA,USD,acres,,,,,,,,
42,1970-01-01,SINGLE_FAMILY,1.1666896235078,"409 S 5th Ave, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23019027709961,-77.94220733642578&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=ueINblcmd1xGs05_bz-nd7ca73s=",8500,,-77.94221,34.23019,RECENTLY_SOLD,84713988,,-1,2.25,26149.0,USA,USD,acres,,,,,,,,
44,1970-01-01,SINGLE_FAMILY,4356.0,"1705 Queen St, Wilmington, NC 28403",https://photos.zillowstatic.com/fp/af7495216e7f2fddc3de718785135f7c-p_e.jpg,19000,3.0,-77.926025,34.22856,RECENTLY_SOLD,54311559,,-1,1.0,1075.0,USA,USD,sqft,True,,,,,,,
45,1970-01-01,SINGLE_FAMILY,3301.0,"1604 Castle St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.229217529296875,-77.92752075195312&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=QkKZOcVFVmh5m9JV4fOtk8eb5i0=",40000,3.0,-77.92752,34.229218,RECENTLY_SOLD,69139418,,-1,1.0,1387.0,USA,USD,sqft,,,,,,,,
57,1970-01-01,SINGLE_FAMILY,2509.0,"903 Walnut St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24074935913086,-77.93830871582031&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=7KXxNfOEle8b4-KAygvK6akUYCA=",10000,2.0,-77.93831,34.24075,RECENTLY_SOLD,54300560,,-1,1.0,1015.0,USA,USD,sqft,,,,,,,,
60,1970-01-01,SINGLE_FAMILY,5702.0,"317 S 16th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23210906982422,-77.92799377441406&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=lZ7C5amdTuw6IdASOFKOmWoE2Hg=",36500,2.0,-77.92799,34.23211,RECENTLY_SOLD,54309648,,-1,1.0,1114.0,USA,USD,sqft,,,,,,,,
71,1970-01-01,SINGLE_FAMILY,0.05,"606 S 7th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/044e70ea1cde10293be2bb9e5eecd26a-p_e.jpg,25000,4.0,-77.93993,34.228138,RECENTLY_SOLD,54310649,,-1,3.0,2220.0,USA,USD,sqft,True,,,,,,,
72,1970-01-01,SINGLE_FAMILY,4800.0,"1904 Church St, Wilmington, NC 28403","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23072814941406,-77.9242172241211&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=CZngJX4ZwSgk0FoLMv0cvtSlqEE=",500,3.0,-77.92422,34.23073,RECENTLY_SOLD,54310182,,-1,1.0,1144.0,USA,USD,sqft,,,,,,,,
76,1970-01-01,SINGLE_FAMILY,0.33769513314968,"212 Brookwood Ave, Wilmington, NC 28403","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23490524291992,-77.91765594482422&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=jGL5C-woNLmPHYCdn-dHgK7Bj0Y=",500,2.0,-77.917656,34.234905,RECENTLY_SOLD,54302837,,-1,1.5,1160.0,USA,USD,acres,,,,,,,,
83,1970-01-01,SINGLE_FAMILY,4791.0,"1610 Dock St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.2355842590332,-77.92816162109375&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=o-gS1RD5pzec9ogkeu6THOUmW-s=",80000,2.0,-77.92816,34.235584,RECENTLY_SOLD,54302190,,-1,1.0,1055.0,USA,USD,sqft,,,,,,,,
85,1970-01-01,SINGLE_FAMILY,2613.0,"1518 Castle St, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/a05a2d55abf459a11f3c62ab4b8d5407-p_e.jpg,58000,2.0,-77.928276,34.22916,RECENTLY_SOLD,54309782,,-1,1.0,1131.0,USA,USD,sqft,True,,,,,,,
92,1970-01-01,SINGLE_FAMILY,4356.0,"411 S 16th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23127365112305,-77.92796325683594&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=i2GLXgOny7Nh-BOzLrjyOhvH5eo=",53000,2.0,-77.92796,34.231274,RECENTLY_SOLD,54309654,,-1,1.0,1107.0,USA,USD,sqft,,,,,,,,
94,1970-01-01,SINGLE_FAMILY,3920.4,"1012 Fanning St, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/e240fd1885a31ca3194661e0f0045b1f-p_e.jpg,650000,3.0,-77.93614,34.24429,RECENTLY_SOLD,54300706,,-1,2.0,1572.0,USA,USD,sqft,True,True,,,,,,
95,1970-01-01,SINGLE_FAMILY,3920.0,"1010 Fanning St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24452590942383,-77.93620300292969&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=G1AhNxz5u3EDVmBew6tm5M3nneY=",75000,6.0,-77.9362,34.244526,RECENTLY_SOLD,54300713,,-1,2.0,1584.0,USA,USD,sqft,,,,,,,,
96,1970-01-01,SINGLE_FAMILY,4948.0,"218 S 13th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23316192626953,-77.93278503417969&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=aDwTcEYzPIp8Zhs2FAcVSGaXj4w=",57500,3.0,-77.932785,34.233162,RECENTLY_SOLD,54309459,,-1,1.0,1222.0,USA,USD,sqft,,,,,,,,
97,1970-01-01,SINGLE_FAMILY,5662.0,"211 N 11th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23927307128906,-77.93617248535156&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=n5b6WGxo1uPTGA8cAY-dRqx2hfk=",56000,3.0,-77.93617,34.239273,RECENTLY_SOLD,54301846,,-1,2.0,1150.0,USA,USD,sqft,,,,,,,,
100,1970-01-01,SINGLE_FAMILY,4356.0,"414 Swann St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24778747558594,-77.94514465332031&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=WpTTyVFoIb5u0RXKi2TGVZbBez4=",65000,3.0,-77.945145,34.247787,RECENTLY_SOLD,54299588,,-1,2.0,1110.0,USA,USD,sqft,,,,,,,,
102,1970-01-01,SINGLE_FAMILY,3959.0,"1012 Fanning St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24428939819336,-77.93614196777344&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=X7bYBg1X9rlsrw2spDDr43Mx6vs=",50000,3.0,-77.93614,34.24429,RECENTLY_SOLD,54300712,,-1,2.0,1584.0,USA,USD,sqft,,,,,,,,
103,1970-01-01,SINGLE_FAMILY,2805.0,"119 S 13th St, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/ac43bb4a438fdeb34a34f5fef0b36330-p_e.jpg,45000,4.0,-77.93231,34.234467,RECENTLY_SOLD,54309365,,-1,3.0,1600.0,USA,USD,sqft,True,,,,,,,
104,1970-01-01,SINGLE_FAMILY,7675.0,"1013 McRae St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.248138427734375,-77.93980407714844&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=Ct4m8mCJF_sUtsAdfb07ze1Mh7E=",55000,3.0,-77.939804,34.24814,RECENTLY_SOLD,54299484,,-1,1.0,1040.0,USA,USD,sqft,,,,,,,,
107,1970-01-01,SINGLE_FAMILY,2178.0,"706 Red Cross St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24148178100586,-77.94088745117188&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=2IAsindpjOGAq55SfPnINEx6KiA=",64500,3.0,-77.94089,34.24148,RECENTLY_SOLD,54300528,,-1,1.0,1218.0,USA,USD,sqft,,,,,,,,
109,1970-01-01,SINGLE_FAMILY,4791.6,"1011 N 5th Ave, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/b6cd7e23024e3cf98ee86d0167fab57f-p_e.jpg,495000,3.0,-77.94515,34.247555,PENDING,54299586,,-1,3.0,1637.0,USA,USD,sqft,True,,,BUILDER_SPEC,,True,,
113,1970-01-01,SINGLE_FAMILY,2739.0,"612 S 9th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.22805404663086,-77.93733978271484&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=yPoVh9nKEu7YYHIGpAZtbbpdULU=",50000,3.0,-77.93734,34.228054,RECENTLY_SOLD,54311087,,-1,2.0,1125.0,USA,USD,sqft,,,,,,,,
117,1970-01-01,SINGLE_FAMILY,3484.0,"1204 Castle St, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/0204625f51765c97bdc9f0a8dbbd54f3-p_e.jpg,80000,3.0,-77.932945,34.22878,RECENTLY_SOLD,54311167,,-1,2.0,14750.0,USA,USD,sqft,True,,,,,,,
124,1970-01-01,SINGLE_FAMILY,4791.0,"606 S 13th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.2286376953125,-77.93225860595703&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=A2cZx7vRqUhnOkcHhRyuL0nmctc=",58100,2.0,-77.93226,34.228638,RECENTLY_SOLD,54311161,,-1,1.0,1125.0,USA,USD,sqft,,,,,,,,
128,1970-01-01,SINGLE_FAMILY,0.07,"507 Bladen Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/e0fa6dec35f12aa10b8468d985f0c45a-p_e.jpg,106500,2.0,-77.944016,34.245975,RECENTLY_SOLD,54299628,,-1,1.0,1084.0,USA,USD,sqft,True,,,,,,,
133,1970-01-01,SINGLE_FAMILY,5445.0,"412 S 7th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23035430908203,-77.94038391113281&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=R3vbl0gF30LuYDrTxWDoBaHg44I=",93000,2.0,-77.940384,34.230354,RECENTLY_SOLD,54309115,,-1,1.0,2591.0,USA,USD,sqft,,,,,,,,
136,1970-01-01,SINGLE_FAMILY,3693.0,"611 S 6th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.227779388427734,-77.94068145751953&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=KV3Racpr-evWn1tsezAKWL0rjJo=",115000,2.0,-77.94068,34.22778,RECENTLY_SOLD,54310630,,-1,1.0,1159.0,USA,USD,sqft,,,,,,,,
138,1970-01-01,SINGLE_FAMILY,0.27,"1109 Mcrae Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/3ef657e736aa250073e897e3a64c81c3-p_e.jpg,115000,3.0,-77.939964,34.24893,RECENTLY_SOLD,54299469,,-1,1.0,1304.0,USA,USD,sqft,True,,,,,,,
139,1970-01-01,SINGLE_FAMILY,0.25250229568411,"415 S 15th St, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/8ba24aef7ce7501bcfd49e60bfd6e70a-p_e.jpg,82000,3.0,-77.929245,34.230953,RECENTLY_SOLD,54309662,,-1,2.0,1576.0,USA,USD,acres,True,,,,,,,
144,1970-01-01,SINGLE_FAMILY,0.18,"402 N 13th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/c5de85cab17065664248afa693e8f0f6-p_e.jpg,349900,4.0,-77.932686,34.24064,PENDING,54300817,,-1,2.0,2280.0,USA,USD,sqft,True,True,,,,,,
149,1970-01-01,SINGLE_FAMILY,0.14,"612 S 4th Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/38997a5babaf01de3416dd7aefe076cd-p_e.jpg,120000,4.0,-77.94407,34.22735,RECENTLY_SOLD,54310698,,-1,2.0,2100.0,USA,USD,sqft,True,,,,,,,
170,1970-01-01,SINGLE_FAMILY,0.08,"916 Rankin Street, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/1c9bb5477b24a79c7501a62aa978656c-p_e.jpg,319000,4.0,-77.937744,34.24139,RECENTLY_SOLD,54300565,,-1,2.0,1480.0,USA,USD,sqft,True,True,,,,,,
176,1970-01-01,SINGLE_FAMILY,2613.0,"619 N 10th St, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/40fa9bca78d93dd833367e47ed9d51ff-p_e.jpg,110000,3.0,-77.93727,34.243458,RECENTLY_SOLD,54300728,,-1,1.0,1056.0,USA,USD,sqft,True,,,,,,,
180,1970-01-01,SINGLE_FAMILY,4948.0,"112 S 12th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23468780517578,-77.93428802490234&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=zjhjHacZvJqOL-XisrM6fHwkwbw=",100000,4.0,-77.93429,34.234688,RECENTLY_SOLD,54302095,,-1,2.0,1380.0,USA,USD,sqft,,,,,,,,
197,1970-01-01,SINGLE_FAMILY,5227.0,"516 S 8th St, Wilmington, NC 28401",https://photos.zillowstatic.com/fp/217552090e2449d162cdd2044a937e6a-p_e.jpg,97500,3.0,-77.9389,34.22901,RECENTLY_SOLD,54310588,,-1,3.0,2248.0,USA,USD,sqft,True,,,,,,,
198,1970-01-01,SINGLE_FAMILY,4817.0,"411 McRae St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24120330810547,-77.94024658203125&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=JivlCFHKAxpCr9Dgw2WM4KOSgCg=",110000,2.0,-77.94025,34.241203,RECENTLY_SOLD,54300518,,-1,2.0,1420.0,USA,USD,sqft,,,,,,,,
208,1970-01-01,SINGLE_FAMILY,10018.0,"1941 Moss St, Wilmington, NC 28403",https://photos.zillowstatic.com/fp/0619ca4c12dbe3ab32d493ba72002bf8-p_e.jpg,105000,3.0,-77.92086,34.228535,RECENTLY_SOLD,54311574,,-1,1.0,1407.0,USA,USD,sqft,True,,,,,,,
210,1970-01-01,SINGLE_FAMILY,6534.0,"729 Nixon St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.24974822998047,-77.94119262695312&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=4KNfBOM-OSV6BX_TqjPApdcMN9k=",86500,2.0,-77.94119,34.24975,RECENTLY_SOLD,54299372,,-1,1.5,1000.0,USA,USD,sqft,,,,,,,,
211,1970-01-01,SINGLE_FAMILY,4791.0,"210 N 13th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23964309692383,-77.9328384399414&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=euzXw2uwAL0MBPRJiiQG1osZNkY=",114000,2.0,-77.93284,34.239643,RECENTLY_SOLD,54301889,,-1,1.0,1197.0,USA,USD,sqft,,,,,,,,
214,1970-01-01,SINGLE_FAMILY,0.31999540863177,"110 N 23rd St, Wilmington, NC 28405","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.23941421508789,-77.91808319091797&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=b4FjjJk7Cw1EEyEThnMr-h9UBBE=",87500,3.0,-77.91808,34.239414,RECENTLY_SOLD,54302327,,-1,2.0,1295.0,USA,USD,acres,,,,,,,,
219,1970-01-01,SINGLE_FAMILY,5227.0,"614 N 11th St, Wilmington, NC 28401","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.243141174316406,-77.93537902832031&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=GMEzFQnM1Bso6c2C5zxHiA40dsM=",108000,4.0,-77.93538,34.24314,RECENTLY_SOLD,54300759,,-1,2.0,1262.0,USA,USD,sqft,,,,,,,,
232,1970-01-01,SINGLE_FAMILY,3484.0,"1802 Colwell Ave, Wilmington, NC 28403",https://photos.zillowstatic.com/fp/b2f2bc3cd02351b951b1cb2c86a3bcc3-p_e.jpg,2300,3.0,-77.92524,34.228924,RECENTLY_SOLD,54310222,,-1,2.0,1038.0,USA,USD,sqft,True,,,,,,,
